scan_id,trade_num,orderId,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency
0,0,60909b7395cfe4000689c987,BTC-USDT,False,55674.7,0.00039066,0.00039066,21.746323296,0.0173970586368,USDT
0,1,60909b7495cfe4000689d14d,TEL-BTC,True,3.095e-07,1262.22,0.0,0.0,0.0,BTC
0,1,60909b76fc04e800061bd97a,TEL-BTC,False,3.125e-07,1262.22,1262.22,0.00039444375,3.15555e-07,BTC
0,2,60909b77bf2e2f00069ece31,TEL-USDT,False,0.01725398,1262.22,1262.22,21.9039221478,0.01752313771824,USDT
1,0,60909b7b2d264a0006334063,BTC-USDT,False,55731.2,0.00039027,0.00039027,21.749083641,0.0173992669128,USDT
1,1,60909b7c95cfe400068a1fe0,VRA-BTC,True,6.724e-07,580.4134,0.0,0.0,0.0,BTC
1,1,60909b7f5b31e60006c97ca0,VRA-BTC,False,6.756e-07,580.4134,580.4134,0.00039212729304,3.13701834432e-07,BTC
1,2,60909b7f0e33aa000675cb71,VRA-USDT,False,0.03745282,580.4134,580.4134,21.738118595788,0.0173904948766304,USDT
2,0,60909b84b178cd000684e811,POLK-USDT,False,1.96,11.0971,11.0971,21.750316,0.0348005056,USDT
2,1,60909b840e33aa000675f846,POLK-BTC,True,3.553e-05,11.0971,0.0,0.0,0.0,BTC
2,1,60909b86b178cd0006850034,POLK-BTC,True,3.523e-05,11.0971,11.0971,0.000390950833,6.255213328e-07,BTC
2,2,60909b870e33aa0006761112,BTC-USDT,True,55706.5,0.00039095,0.00039095,21.78256115,0.01742604892,USDT
